# Middle Chinese to Mandarin syllable mapping (work in progress)
# version: 20190512
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# The Middle Chinese syllables are transcribed using Baxter transcription.
# The Mandarin IPA transcription is intended to reflect the system of 洪武正韻譯訓. The following modern phonetic realization are not marked explicitly:
#  Merge of syllable codae -p -t -k to glottal stop [ʔ];
#  Omission of breathiness in breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ (resulting in merge with [ʂ] [ʃ] [s] [f] [h]~[x] respectively);
#  Palatalization and frictivization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ or /y/;
#  Merge of -iaw and -iɛw.
kwangx_ghiunh_entry	middle_chinese_to_mandarin_mapping
418(宗)	宗(tsowng)->宗(tsuŋ)
423(鍾)	鍾(tsyowng)->鍾(tʃyuŋ)
423(鍾)	鈡(tsyowng)->鈡(tʃyuŋ)
423(鍾)	鐘(tsyowng)->鐘(tʃyuŋ)
423(鍾)	钟(tsyowng)->钟(tʃyuŋ)
424(鐘)	鐘(tsyowng)->鐘(tʃyuŋ)
424(鐘)	鍾(tsyowng)->鍾(tʃyuŋ)
426(忪)	忪(tsyowng)->忪(tʃyuŋ)
429(彸)	彸(tsyowng)->彸(tʃyuŋ)
432(橦)	橦(tsyowng)->橦(tʃyuŋ)
432(橦)	幢(tsyowng)->幢(tʃyuŋ)
441(龍)	龍(ljowng)->龍(lyȕŋ)
441(龍)	尨(ljowng)->尨(lyȕŋ)
441(龍)	竜(ljowng)->竜(lyȕŋ)
442(𪚝)	𪚝(ljowng)->𪚝(lyȕŋ)
447(籠)	籠(ljowng)->籠(lyȕŋ)
447(籠)	篭(ljowng)->篭(lyȕŋ)
449(蘢)	蘢(ljowng)->蘢(lyȕŋ)
450(舂)	舂(syowng)->舂(ʃyuŋ)
452(摏)	摏(syowng)->摏(ʃyuŋ)
453(蹖)	蹖(syowng)->蹖(ʃyuŋ)
454(𪄻)	𪄻(syowng)->𪄻(ʃyuŋ)
455(憃)	憃(syowng)->憃(ʃyuŋ)
460(𧘂)	𧘂(tsyhowng)->𧘂(tʃʰyuŋ)
461(衝)	衝(tsyhowng)->衝(tʃʰyuŋ)
462(罿)	罿(tsyhowng)->罿(tʃʰyuŋ)
463(憧)	憧(tsyhowng)->憧(tʃʰyuŋ)
464(䡴)	䡴(tsyhowng)->䡴(tʃʰyuŋ)
465(艟)	艟(tsyhowng)->艟(tʃʰyuŋ)
470(䂌)	䂌(tsyhowng)->䂌(tʃʰyuŋ)
471(容)	容(yowng)->容(jyȕŋ)
472(溶)	溶(yowng)->溶(jyȕŋ)
473(滽)	滽(yowng)->滽(jyȕŋ)
474(庸)	庸(yowng)->庸(jyȕŋ)
479(墉)	墉(yowng)->墉(jyȕŋ)
480(鎔)	鎔(yowng)->鎔(jyȕŋ)
481(鏞)	鏞(yowng)->鏞(jyȕŋ)
483(鄘)	鄘(yowng)->鄘(jyȕŋ)
484(傭)	傭(yowng)->傭(jyȕŋ)
489(蓉)	蓉(yowng)->蓉(jyȕŋ)
490(䗤)	䗤(yowng)->䗤(jyȕŋ)
491(傛)	傛(yowng)->傛(jyȕŋ)
492(褣)	褣(yowng)->褣(jyȕŋ)
494(瑢)	瑢(yowng)->瑢(jyȕŋ)
495(䈶)	䈶(yowng)->䈶(jyȕŋ)
496(嵱)	嵱(yowng)->嵱(jyȕŋ)
497(頌)	頌(yowng)->頌(jyȕŋ)
505(𢧳)	𢧳(yowng)->𢧳(jyȕŋ)
506(封)	封(pjowng)->封(fuŋ)
508(犎)	犎(pjowng)->犎(fuŋ)
509(葑)	葑(pjowng)->葑(fuŋ)
510(崶)	崶(pjowng)->崶(fuŋ)
511(胷)	胷(xjowng)->胷(hyuŋ)
511(胷)	胸(xjowng)->胸(hyuŋ)
512(凶)	凶(xjowng)->凶(hyuŋ)
512(凶)	兇(xjowng)->兇(hyuŋ)
515(洶)	洶(xjowng)->洶(hyuŋ)
518(兇)	兇(xjowng)->兇(hyuŋ)
518(兇)	凶(xjowng)->凶(hyuŋ)
519(訩)	訩(xjowng)->訩(hyuŋ)
519(訩)	詾(xjowng)->詾(hyuŋ)
520(匈)	匈(xjowng)->匈(hyuŋ)
521(顒)	顒(ngjowng)->顒(ŋyȕŋ)
523(鰅)	鰅(ngjowng)->鰅(jyȕŋ)
524(喁)	喁(ngjowng)->喁(ŋyȕŋ)
525(邕)	邕('jowng)->邕(ʔyuŋ)
526(雍)	雍('jowng)->雍(ʔyuŋ)
527(噰)	噰('jowng)->噰(ʔyuŋ)
531(灉)	灉('jowng)->灉(ʔyuŋ)
532(癰)	癰('jowng)->癰(ʔyuŋ)
533(罋)	甕('jowng)->甕(ʔyuŋ)
533(罋)	罋('jowng)->罋(ʔyuŋ)
534(廱)	廱('jowng)->廱(ʔyuŋ)
535(饔)	饔('jowng)->饔(ʔyuŋ)
536(壅)	壅('jowng)->壅(ʔyuŋ)
537(雝)	雝('jowng)->雝(ʔyuŋ)
549(重)	重(drjowng)->重(tʃʱyȕŋ)
550(穜)	穜(drjowng)->穜(tʃʱyȕŋ)
554(蝩)	蝩(drjowng)->蝩(tʃʱyȕŋ)
555(從)	從(dzjowng)->從(tsʱyȕŋ)
555(從)	従(dzjowng)->従(tsʱyȕŋ)
558(蹱)	蹱(trhjowng)->蹱(tʃʰyuŋ)
559(傭)	傭(trhjowng)->傭(tʃʰyuŋ)
561(𨙦)	𨙦(trhjowng)->𨙦(tʃʰyuŋ)
565(逢)	逢(bjowng)->逢(fʱȕŋ)
566(縫)	縫(bjowng)->縫(fʱȕŋ)
567(漨)	漨(bjowng)->漨(fʱȕŋ)
573(峯)	峯(phjowng)->峯(fuŋ)
573(峯)	峰(phjowng)->峰(fuŋ)
574(鋒)	鋒(phjowng)->鋒(fuŋ)
575(丰)	丰(phjowng)->丰(fuŋ)
579(蠭)	蠭(phjowng)->蠭(fuŋ)
