index	廣韻小韻	middle_chinese_transcription	mandarin
382	嗺	蟹合一平灰精	tswoj	tsui
383	咍	蟹開一平咍曉	xoj	hai
384	開	蟹開一平咍溪	khoj	khai
385	哀	蟹開一平咍影	'oj	ʔai
386	臺	蟹開一平咍定	doj	tɦȁi
387	該	蟹開一平咍見	koj	kai
388	裁	蟹開一平咍從	dzoj	tsɦȁi
389	來	蟹開一平咍來	loj	lȁi
390	烖	蟹開一平咍精	tsoj	tsai
391	猜	蟹開一平咍清	tshoj	tshai
392	𤗏	蟹開一平咍並	boj	pɦȁi
393	胎	蟹開一平咍透	thoj	thai
394	孩	蟹開一平咍匣	hoj	ɦȁi
395	鰓	蟹開一平咍心	soj	sai
396	皚	蟹開一平咍疑	ngoj	ŋȁi
397	能	蟹開一平咍泥	noj	nȁi
398	𪒴	蟹開一平咍端	toj	tai
399	㹗	蟹開一平咍昌	tsyhoj	tʃhai
400	𡜊	蟹開一平咍滂	phoj	phai
401	眞	臻開三平眞章	tsyin	tʃin
402	𤣆	臻開三平眞徹	trhin	tʃhin
403	因	臻開三平眞影A	'jin	ʔin
404	新	臻開三平眞心	sin	sin
405	辰	臻開三平眞常	dzyin	tʃɦȉn
406	仁	臻開三平眞日	nyin	ʒȉn
407	神	臻開三平眞船	zyin	ʃʒȉn
408	親	臻開三平眞清	tshin	tshin
409	礥	臻開三平眞云	hin	jȉn
410	申	臻開三平眞書	syin	ʃin
411	賔	臻開三平眞幫A	pjin	pin
412	㷠	臻開三平眞來	lin	lȉn
413	𥎊	臻開三平眞羣B	gin	kɦȉn
414	珍	臻開三平眞知	trin	tʃin
415	陳	臻開三平眞澄	drin	tʃɦȉn
416	津	臻開三平眞精	tsin	tsin
417	瞋	臻開三平眞昌	tsyhin	tʃhin
418	秦	臻開三平眞從	dzin	tsɦȉn
419	寅	臻開三平眞以	yin	jȉn
420	紉	臻開三平眞孃	nrin	nȉn
421	繽	臻開三平眞滂A	phjin	phin
422	頻	臻開三平眞並A	bjin	pɦȉn
423	銀	臻開三平眞疑B	ngin	ŋjȉn
424	巾	臻開三平眞見B	kin	kin
425	麏	臻合三平眞見B	kwin	kyun
426	筠	臻合三平眞云	hwin	jyȕn
427	囷	臻合三平眞溪B	khwin	khyun
428	珉	臻開三平眞明B	min	mȉn
429	貧	臻開三平眞並B	bin	pɦȉn
430	𪔗	臻開三平眞影B	'in	ʔin
431	贇	臻合三平眞影B	'win	ʔyun
432	彬	臻開三平眞幫B	pin	pin
433	民	臻開三平眞明A	mjin	mȉn
434	諄	臻合三平諄章	tsywin	tʃyun
435	椿	臻合三平諄徹	trhwin	tʃhyun
436	䣩	臻合三平諄澄	drwin	tʃɦyȕn
437	荀	臻合三平諄心	swin	syun
438	純	臻合三平諄常	dzywin	ʃʒyȕn
439	犉	臻合三平諄日	nywin	ʒyȕn
440	脣	臻合三平諄船	zywin	ʃʒyȕn
441	淪	臻合三平諄來	lwin	lyȕn
442	屯	臻合三平諄知	trwin	tʃyun
443	逡	臻合三平諄清	tshwin	tshyun
444	遵	臻合三平諄精	tswin	tsyun
445	春	臻合三平諄昌	tsyhwin	tʃhyun
446	鷷	臻合三平諄從	dzwin	tsɦyȕn
447	勻	臻合三平諄以	ywin	jyȕn
448	旬	臻合三平諄邪	zwin	szyȕn
449	均	臻合三平諄見	kjwin	kyun
450	𧼒	臻開三平眞羣A	gjin	kɦȉn
451	砏	臻開三平眞滂B	phin	phin
452	臻	臻開三平臻莊	tsrin	ʈʂən
453	莘	臻開三平臻生	srin	ʂən
454	𦿒	臻開三平臻崇	dzrin	ʈʂɦə̏n
455	文	臻合三平文明	mjun	vȕn
456	雲	臻合三平文云	hjun	jyȕn
457	煴	臻合三平文影	'jun	ʔyun
458	汾	臻合三平文並	bjun	fvȕn
459	分	臻合三平文幫	pjun	fun
460	羣	臻合三平文羣	gjun	kɦyȕn
461	薰	臻合三平文曉	xjun	hyun
462	君	臻合三平文見	kjun	kyun
463	芬	臻合三平文滂	phjun	fun
464	欣	臻開三平欣曉	xj+n	hin
465	殷	臻開三平欣影	'j+n	ʔin
466	勤	臻開三平欣羣	gj+n	kɦȉn
467	斤	臻開三平欣見	kj+n	kin
468	䖐	臻開三平欣疑	ngj+n	ŋjȉn
469	元	臻合三平元疑	ngjwon	ŋjyuɛ̏n
470	袁	臻合三平元云	hjwon	jyuɛ̏n
471	煩	臻合三平元並	bjon	fvȁn
472	飜	臻合三平元滂	phjon	fan
473	暄	臻合三平元曉	xjwon	hyuɛn
474	鴛	臻合三平元影	'jwon	ʔyuɛn
475	言	臻開三平元疑	ngjon	ŋjiɛ̏n
476	攑	臻開三平元溪	khjon	khiɛn
477	軒	臻開三平元曉	xjon	hiɛn
478	𢳚	臻開三平元見	kjon	kiɛn
479	蔫	臻開三平元影	'jon	ʔiɛn
480	蕃	臻合三平元幫	pjon	fan
481	𥴤	臻開三平元羣	gjon	kɦiɛ̏n
482	樠	臻合三平元明	mjon	vȁn
483	䰟	臻合一平魂匣	hwon	ɦȕn
484	昆	臻合一平魂見	kwon	kun
485	𥁕	臻合一平魂影	'won	ʔun
486	門	臻合一平魂明	mwon	mȕn
487	孫	臻合一平魂心	swon	sun
488	尊	臻合一平魂精	tswon	tsun
489	存	臻合一平魂從	dzwon	tsɦȕn
490	敦	臻合一平魂端	twon	tun
491	暾	臻合一平魂透	thwon	thun
492	屯	臻合一平魂定	dwon	tɦȕn
493	村	臻合一平魂清	tshwon	tshun
494	㑮	臻合一平魂疑	ngwon	ŋȕn
495	盆	臻合一平魂並	bwon	pɦȕn
496	奔	臻合一平魂幫	pwon	pun
497	論	臻合一平魂來	lwon	lȕn
498	坤	臻合一平魂溪	khwon	khun
499	昏	臻合一平魂曉	xwon	hun
500	濆	臻合一平魂滂	phwon	phun
501	黁	臻合一平魂泥	nwon	nȕn
502	痕	臻開一平痕匣	hon	ɦə̏n
503	根	臻開一平痕見	kon	kən
504	恩	臻開一平痕影	'on	ʔən
505	吞	臻開一平痕透	thon	thən
506	垠	臻開一平痕疑	ngon	ŋə̏n
507	寒	山開一平寒匣	han	ɦɑ̏n
508	豻	山開一平寒疑	ngan	ŋɑ̏n
509	單	山開一平寒端	tan	tan
510	安	山開一平寒影	'an	ʔɑn
511	難	山開一平寒泥	nan	nȁn
512	餐	山開一平寒清	tshan	tshan
513	灘	山開一平寒透	than	than
514	𦙽	山開一平寒心	san	san
515	壇	山開一平寒定	dan	tɦȁn
516	殘	山開一平寒從	dzan	tsɦȁn
517	干	山開一平寒見	kan	kɑn
518	蘭	山開一平寒來	lan	lȁn
519	看	山開一平寒溪	khan	khɑn
520	頇	山開一平寒曉	xan	hɑn
521	濡	山合一平桓泥	nwan	nwɔ̏n
522	桓	山合一平桓匣	hwan	ɦwɔ̏n
523	岏	山合一平桓疑	ngwan	ŋwɔ̏n
524	端	山合一平桓端	twan	twɔn
525	剜	山合一平桓影	'wan	ʔwɔn
526	湍	山合一平桓透	thwan	thwɔn
527	酸	山合一平桓心	swan	swɔn
528	團	山合一平桓定	dwan	tɦwɔ̏n
529	櫕	山合一平桓從	dzwan	tsɦwɔ̏n
530	官	山合一平桓見	kwan	kwɔn
531	鑾	山合一平桓來	lwan	lwɔ̏n
532	歡	山合一平桓曉	xwan	hwɔn
533	寬	山合一平桓溪	khwan	khwɔn
534	鑚	山合一平桓精	tswan	tswɔn
535	槃	山合一平桓並	ban	pɦwɔ̏n
536	瞞	山合一平桓明	man	mwɔ̏n
537	潘	山合一平桓滂	phan	phwɔn
538	𤳖	山合一平桓幫	pan	pwɔn
539	刪	山開二平刪生	sraen	ʂan
540	關	山合二平刪見	kwaen	kwan
541	彎	山合二平刪影	'waen	ʔwan
542	𣠯	山合二平刪生	srwaen	ʂwan
543	還	山合二平刪匣	hwaen	ɦwȁn
544	班	山開二平刪幫	paen	pan
545	蠻	山開二平刪明	maen	mȁn
546	顏	山開二平刪疑	ngaen	ŋjiȁn
547	姦	山開二平刪見	kaen	kian
548	攀	山開二平刪滂	phaen	phan
549	奻	山合二平刪孃	nrwaen	nwȁn
550	𤸷	山合二平刪疑	ngwaen	ŋwȁn
551	馯	山開二平刪溪	khaen	khian
552	豻	山開二平刪溪	khaen	khian
553	跧	山合二平刪莊	tsrwaen	ʈʂwan
554	山	山開二平山生	srean	ʂan
555	鰥	山合二平山見	kwean	kwan
556	閒	山開二平山見	kean	kian
557	閑	山開二平山匣	hean	ɦiȁn
558	慳	山開二平山溪	khean	khian
559	虥	山開二平山崇	dzrean	ʈʂɦȁn
560	羴	山開二平山曉	xean	hian
561	詽	山開二平山疑	ngean	ŋjiȁn
562	黰	山開二平山影	'ean	ʔian
563	斒	山開二平山幫	pean	pan
564	斕	山開二平山來	lean	lȁn
565	嘫	山開二平山孃	nrean	nȁn
566	㺗	山開二平山昌	tsyhean	tʃhan
