正韻卷番	韻目	IPA	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
2	灰	sui	○	雖	蘇回切	164	雖	蘇回切
2	灰	ȕi	○	爲	于嬀切	165	爲	于嬀切
2	灰	kɦȕi	○	葵	渠爲切	166	葵	渠爲切
2	灰	tsui	○	嗺	遵綏切	167	嗺	遵綏切
2	灰	pɦȕi	○	裴	蒲枚切	168	裴	蒲枚切
2	灰	ʂui	○	衰	所追切	169	衰	所追切
2	灰	ʒȕi	○	痿	儒隹切	170	痿	儒隹切
2	灰	tsui	○	厜	津垂切	171	厜	津垂切
2	灰	ʃʒȕi	○	誰	視隹切	172	誰	視隹切
2	灰	hui	○	睢	翾圭切	173	睢	翾圭切
2	灰	tʃhui	○	吹	昌垂切	174	吹	昌垂切
2	灰	tsɦȕi	○	摧	徂回切	175	摧	徂回切
3	真	tʃin	¶八真¶¶	眞	之人切	176	眞	之人切
3	真	ʃin	○	申	升人切	177	申	升人切
3	真	tʃhin	○	瞋	稱人切	178	瞋	稱人切
3	真	ʃʒȉn	○	辰	丞眞切	179	辰	丞真切
3	真	ʒȉn	○	人	而鄰切	180	人	而鄰切
3	真	sin	○	辛	斯鄰切	181	辛	斯鄰切
3	真	tshin	○	親	七人切	182	親	七人切
3	真	tsin	○	津	資辛切	183	津	資辛切
3	真	tsɦȉn	○	秦	慈鄰切	184	秦	慈鄰切
3	真	phin	○	繽	紕民切	185	繽	紕民切
3	真	pin	○	賔	卑民切	186	賔	卑民切
3	真	pɦȉn	○	頻	毗賔切	187	頻	毗賓切
3	真	mȉn	○	民	彌鄰切	188	民	彌鄰切
3	真	tʃɦȉn	○	陳	池鄰切	189	陳	池鄰切
3	真	lȉn	○	鄰	離珍切	190	鄰	龍珍切
3	真	ʔin	○	因	伊眞切	191	因	伊真切
3	真	ʔyun	○	氲	紆倫切	192	氳	紆倫切
3	真	nȉn	○	紉	尼鄰切	193	紉	尼鄰切
3	真	jyȕn	○	雲	于分切	194	雲	于分切
3	真	kyun	○	鈞	規倫切	195	鈞	規倫切
3	真	kin	○	巾	居銀切	196	巾	居銀切
3	真	kɦȉn	○	勤	渠巾切	197	勤	渠巾切
3	真	(ŋ)jȉn	○	銀	魚巾切	198	銀	魚巾切
3	真	khyun	○	囷	區倫切	199	囷	區倫切
3	真	hyun	○	熏	許云切	200	熏	許云切
3	真	kɦyȕn		羣	渠云切	201	羣	渠云切
3	真	hin	○	欣	許斤切	202	欣	許斤切
3	真	tʃyun	○	諄	朱倫切	203	諄	朱倫切
3	真	tʃhyun	○	春	樞倫切	204	春	樞倫切
3	真	ʃʒyȕn	○	純	殊倫切	205	純	殊倫切
3	真	syun	○	荀	須倫切	206	荀	須倫切
3	真	tshyun	○	逡	七倫切	207	逡	七倫切
3	真	tsɦȕn	○	存	徂尊切	208	存	徂尊切
3	真	szyȕn	○	旬	詳倫切	209	旬	辭倫切
3	真	lyȕn	○	倫	龍春切	210	倫	龍春切
3	真	vȕn	○	文	無分切	211	文	無分切
3	真	fun	○	芬	敷文切	212	芬	敷文切
3	真	fvȕn	○	汾	符分切	213	汾	符分切
3	真	ɦȕn	○	䰟	胡昆切	214	䰟	胡昆切
3	真	kun	○	昆	公渾切	215	昆	公渾切
3	真	ʔun	○	溫	烏昆切	216	溫	烏昆切
3	真	hun	○	昏	呼昆切	217	昏	呼昆切
3	真	khun	○	坤	枯昆切	218	坤	枯昆切
3	真	pun	○	奔	逋昆切	219	奔	逋昆切
3	真	phun	○	歕	鋪䰟切	220	歕	浦魂切
3	真	pɦȕn	○	盆	蒲奔切	221	盆	蒲奔切
3	真	mȕn	○	門	謨奔切	222	門	謨奔切
3	真	sun	○	孫	蘇昆切	223	孫	蘇昆切
3	真	tshun	○	村	倉尊切	224	村	倉尊切
3	真	tsun	○	尊	租昆切	225	尊	租昆切
3	真	thun	○	暾	他昆切	226	暾	他昆切
3	真	tɦȕn	○	屯	徒孫切	227	屯	徒孫切
3	真	lȕn	○	論	盧昆切	228	論	盧昆切
3	真	tun	○	敦	都昆切	229	敦	都昆切
3	真	tʂən	○	臻	側詵切	230	臻	側詵切
3	真	ʂən	○	莘	疏臻切	231	莘	疏臻切
3	真	ʈʂɦə̏n	○	榛	鉏臻切	232	榛	鉏臻切
3	真	ɦə̏n	○	痕	胡恩切	233	痕	胡恩切
3	真	kən	○	根	古痕切	234	根	古痕切
3	真	ʔən	○	恩	烏痕切	235	恩	烏痕切
3	真	ŋə̏n	○	垠	五根切	236	垠	五根切
3	寒	ɦɔ̏n	九寒¶¶	寒	河干切	237	寒	河干切
3	寒	ŋɔ̏n		豻	俄寒切	238	豻	俄寒切
3	寒	khɔn	○	看	丘寒切	239	看	丘寒切
3	寒	kɔn	○	干	居寒切	240	干	居寒切
3	寒	ʔɔn	○	安	於寒切	241	安	於寒切
3	寒	hwɔn	○	歡	呼官切	242	歡	呼官切
3	寒	khwɔn	○	寬	枯官切	243	寬	枯官切
3	寒	kwɔn	○	官	沽歡切	244	官	沽歡切
3	寒	ʔwɔn	○	剜	爲歡切	245	剜	烏歡切
3	寒	ŋwɔ̏n	○	岏	吾官切	246	岏	吾官切
3	寒	phwɔn	○	潘	鋪官切	247	潘	鋪官切
3	寒	pwɔn	○	般	逋潘切	248	般	逋潘切
3	寒	pɦwɔ̏n	○	槃	蒲官切	249	槃	蒲官切
3	寒	pɦwɔ̏n	○	般	NA	249	般	NA
3	寒	mwɔ̏n	○	瞞	謨官切	250	瞞	謨官切
3	寒	swɔn	○	酸	蘇官切	251	酸	蘇官切
3	寒	tswɔn	○	鑽	祖官切	252	鑽	祖官切
3	寒	tsɦwɔ̏n	○	欑	徂官切	253	欑	徂官切
3	寒	twɔn	○	端	多官切	254	端	多官切
3	寒	thwɔn	○	湍	他官切	255	湍	他官切
3	寒	tɦwɔ̏n	○	團	徒官切	256	團	徒官切
3	寒	lwɔ̏n	○	鸞	盧官切	257	鸞	盧官切
3	寒	ɦwɔ̏n	○	桓	胡官切	258	桓	胡官切
3	寒	hɔn	○	暵	許干切	259	暵	許干切
3	刪	ʂan	十刪¶¶	刪	師姦切	260	刪	師姦切
3	刪	swan	○	散	相關切	261	散	相關切
3	刪	kwan	○	關	姑還切	262	關	姑還切
3	刪	ʔwan	○	彎	烏還切	263	彎	烏還切
3	刪	ɦwȁn	○	還	胡關切	264	還	胡關切
3	刪	tʂwan	○	跧	阻頑切	265	跧	阻頑切
3	刪	kian	○	姦	居顔切	266	姦	居顔切
3	刪	kian	○	菅	NA	266	菅	NA
3	刪	(ŋ)jiȁn	○	顏	牛姦切	267	顏	牛姦切
3	刪	ŋwȁn	○	頑	五還切	268	頑	五還切
3	刪	pan	○	班	逋還切	269	班	逋還切
3	刪	pan	○	斒	逋閑切	270	斒	逋閑切
3	刪	(ŋ)jiȁn	○	虤	五閑切	271	虤	五閑切
3	刪	phan	○	攀	披班切	272	攀	披班切
3	刪	mȁn	○	蠻	謨還切	273	蠻	謨還切
3	刪	ʈʂɦȁn	○	潺	鉏山切	274	潺	鉏山切
3	刪	tshan	○	餐	千山切	275	餐	千山切
3	刪	lȁn	○	斕	離閑切	276	斕	離閑切
3	刪	lɔ̏n		闌	郎干切	276_no_siewx_ghiunh_separator	闌	郎干切
3	刪	ɦiȁn	○	閑	何艱切	277	閑	何艱切
3	刪	pɦȁn	○	瓣	蒲閑切	278	瓣	蒲閑切
3	刪	khian	○	慳	丘閑切	279	慳	丘閑切
3	刪	ʔian	○	黫	烏閑切	280	黫	烏閑切
3	刪	fan	○	翻	孚艱切	281	翻	孚艱切
3	刪	fvȁn	○	煩	符艱切	282	煩	符艱切
3	刪	tsɦȁn	○	殘	財艱切	283	殘	財艱切
3	刪	tan	○	單	都艱切	284	單	都艱切
3	刪	than	○	灘	他丹切	285	灘	他丹切
3	刪	tɦȁn	○	壇	唐闌切	286	壇	唐闌切
3	刪	hwan	○	儇	呼關切	287	儇	呼關切
3	刪	nȁn	○	難	那壇切	288	難	那壇切
3	刪	ʂwan	○	𣠯	數還切	289	𣟴	數還切
4	先	siɛn	¶十一先¶¶	先	蘇前切	290	先	蘇前切
4	先	thiɛn		天	他前切	291	天	他前切
4	先	tshiɛn		千	倉先切	292	千	倉先切
4	先	tsiɛn	○	箋	則前切	293	箋	則前切
4	先	tsɦiɛ̏n	○	前	才先切	294	前	才先切
4	先	piɛn	○	邊	卑眠切	295	邊	卑眠切
4	先	phiɛn	○	篇	紕連切	296	篇	紕連切
4	先	miɛ̏n	○	眠	莫堅切	297	眠	莫堅切
4	先	tiɛn	○	顚	多年切	298	顚	多年切
4	先	tɦiɛ̏n	○	田	亭年切	299	田	亭年切
4	先	niɛ̏n	○	年	寧田切	300	年	寧田切
4	先	liɛ̏n	○	蓮	靈年切	301	蓮	靈年切
4	先	kiɛn	○	堅	經天切	302	堅	經天切
4	先	khiɛn	○	牽	苦堅切	303	牽	苦堅切
4	先	ɦiɛ̏n	○	賢	胡田切	304	賢	胡田切
4	先	jiɛ̏n	○	延	夷然切	305	延	夷然切
4	先	ʔiɛn	○	煙	因肩切	306	煙	因肩切
4	先	kyuɛn	○	涓	圭淵切	307	涓	圭淵切
4	先	tʃɦyuɛ̏n	○	椽	重圓切	308	椽	重圓切
4	先	ɦyuɛ̏n	○	玄	胡涓切	309	玄	胡涓切
4	先	lyuɛ̏n	○	攣	閭圓切	310	攣	閭圓切
4	先	ʔyuɛn	○	淵	縈圓切	311	淵	縈圓切
4	先	ʒiɛ̏n	○	然	如延切	312	然	如延切
4	先	sziɛ̏n	○	涎	徐延切	313	涎	徐延切
4	先	ʃiɛn	○	羶	尸連切	314	羶	尸連切
4	先	ʃʒiɛ̏n	○	鋋	時連切	315	鋋	時連切
4	先	tʃiɛn	○	饘	諸延切	316	饘	諸延切
4	先	tʃɦiɛ̏n	○	蟬	呈延切	317	蟬	呈延切
4	先	ʈʂɦȁn	○	潺	鋤連切	318	潺	鋤連切
4	先	tʃhiɛn	○	梴	抽延切	319	梴	抽延切
4	先	hiɛn	○	軒	虛延切	320	軒	虛延切
4	先	kɦiɛ̏n	○	乾	渠焉切	321	乾	渠焉切
4	先	pɦiɛ̏n	○	緶	蒲眠切	322	緶	蒲眠切
4	先	syuɛn	○	宣	息縁切	323	宣	息緣切
4	先	tshyuɛn	○	詮	且緣切	324	詮	且緣切
4	先	tsyuɛn	○	鐫	子全切	325	鐫	子全切
4	先	szyuɛ̏n	○	旋	旬緣切	326	旋	旬緣切
4	先	tsɦyuɛ̏n	○	全	才緣切	327	全	才緣切
4	先	tʃhyuɛn	○	穿	昌緣切	328	穿	昌緣切
4	先	tʃyuɛn	○	專	朱緣切	329	專	朱緣切
4	先	ʒyuɛ̏n	○	𤲬	而宣切	330	𤲬	而宣切
4	先	hyuɛn	○	暄	呼淵切	331	暄	呼淵切
4	先	jyuɛ̏n	○	員	于權切	332	員	于權切
4	先	jyuɛ̏n	○	元	NA	332	元	NA
4	先	khyuɛn	○	圈	驅圓切	333	圈	驅圓切
4	先	kɦyuɛ̏n	○	權	逵員切	334	權	逵員切
4	蕭	siɛw	十二蕭¶¶	蕭	先彫切	335	蕭	先彫切
4	蕭	tiɛw	○	貂	丁聊切	336	貂	丁聊切
4	蕭	thiɛw	○	祧	他彫切	337	祧	他彫切
4	蕭	tɦiɛ̏w	○	迢	田聊切	338	迢	田聊切
4	蕭	liɛ̏w	○	聊	連條切	339	聊	連條切
4	蕭	kiɛw	○	驍	堅堯切	340	驍	堅堯切
4	蕭	ʔiɛw	○	幺	伊堯切	341	幺	伊堯切
4	蕭	khiɛw	○	橇	丘妖切	342	橇	丘妖切
4	蕭	tshiɛw	○	篍	此遥切	343	篍	此遙切
4	蕭	tsiɛw	○	焦	玆消切	344	焦	兹消切
4	蕭	tsɦiɛ̏w	○	樵	慈消切	345	樵	慈消切
4	蕭	piɛw	○	猋	卑遥切	346	猋	卑遙切
4	蕭	phiɛw	○	漂	紕招切	347	漂	紕招切
4	蕭	pɦiɛ̏w	○	瓢	毗招切	348	瓢	毗招切
4	蕭	miɛ̏w	○	苗	眉鑣切	349	苗	眉鑣切
4	蕭	ʃiɛw	○	燒	尸昭切	350	燒	尸昭切
4	蕭	tʃhiɛw	○	弨	蚩招切	351	弨	蚩招切
4	蕭	tʃiɛw	○	昭	之遙切	352	昭	之遙切
4	蕭	ʃʒiɛ̏w	○	韶	時昭切	353	韶	時招切
4	蕭	ʒiɛ̏w	○	饒	如招切	354	饒	如招切
4	蕭	tʃɦiɛ̏w	○	潮	馳遙切	355	潮	馳遙切
4	蕭	jiɛ̏w	○	堯	餘招切	356	堯	餘招切
4	蕭	kɦiɛ̏w	○	橋	祁堯切	357	橋	祁堯切
4	蕭	hiɛw	○	鴞	吁驕切	358	鴞	吁驕切
4	爻	ɦiȁw	十三爻¶¶	爻	何交切	359	爻	何交切
4	爻	kiaw	○	交	居肴切	360	交	居肴切
