# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
128	危	止合三平支疑B	ngjwe	ŋui˩	꜁ㄫㄨㄟ	꜁ㄨㄟ
129	詑	止開三平支曉A	xjie	hi	ㄒㄧ	ㄒㄧ
130	釃	止開三平支生	srje	ʂɨ	ㄕㄭ	ㄕ
131	䪎	止合三平支生	srjwe	ʂui	ㄕㄨㄟ	ㄕㄨㄟ
132	痿	止合三平支日	nywe	ʒui˩	꜁ㄖㄨㄟ	꜁ㄖㄨㄟ
133	厜	止開三平支精	tsje	tsɨ	ㄗㄭ	ㄗ
134	𩓸	止合三平支見A	kjwie	kui	ㄍㄨㄟ	ㄍㄨㄟ
135	劑	止合三平支精	tsjwe	tsui	ㄗㄨㄟ	ㄗㄨㄟ
136	衰	止合三平支初	tsrhjwe	ʈʂʰui/tsʰui	ㄔㄨㄟ/ㄘㄨㄟ	ㄔㄨㄟ/ㄘㄨㄟ
137	腄	止合三平支知	trjwe	ʈʂui	ㄓㄨㄟ	ㄓㄨㄟ
138	䮔	止合三平支精	tsjwe	tsui	ㄗㄨㄟ	ㄗㄨㄟ
139	眵	止開三平支昌	tsyhe	tʃʰiɨ	ㄔ	ㄔ
140	齜	止開三平支莊	tsrje	ʈʂɨ	ㄓㄭ	ㄓ
141	𤿎	止開三平支滂A	phjie	pʰi	ㄆㄧ	ㄆㄧ
142	䔺	止合三平支以	ywe	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
143	齹	止開三平支崇	dzrje	ʈʂʱɨ˩	꜁ㄔㄭ	꜁ㄔ
144	脂	止開三平脂章	tsyij	tʃiɨ	ㄓ	ㄓ
145	姨	止開三平脂以	yij	ji˩	꜁ㄧ	꜁ㄧ
146	師	止開三平脂生	srij	ʂɨ	ㄕㄭ	ㄕ
147	𣬈	止開三平脂並A	bjij	pʱi˩	꜁ㄆㄧ	꜁ㄆㄧ
148	咨	止開三平脂精	tsij	tsɨ	ㄗㄭ	ㄗ
149	飢	止開三平脂見B	kij	ki	ㄐㄧ	ㄐㄧ
150	鴟	止開三平脂昌	tsyhij	tʃʰiɨ	ㄔ	ㄔ
151	絺	止開三平脂徹	trhij	tʃʰi	ㄔㄧ	ㄔ
152	郪	止開三平脂清	tshij	tsʰɨ	ㄘㄭ	ㄘ
153	茨	止開三平脂從	dzij	tsʱɨ˩	꜁ㄘㄭ	꜁ㄘ
154	尼	止開三平脂孃	nrij	ni˩	꜁ㄋㄧ	꜁ㄋㄧ
155	墀	止開三平脂澄	drij	tʃʱi˩	꜁ㄔㄧ	꜁ㄔ
156	私	止開三平脂心	sij	sɨ	ㄙㄭ	ㄙ
157	尸	止開三平脂書	syij	ʃiɨ	ㄕ	ㄕ
158	鬐	止開三平脂羣B	gij	kʱi˩	꜁ㄑㄧ	꜁ㄑㄧ
159	伊	止開三平脂影A	’jij	ʔi	ㄧ	ㄧ
160	棃	止開三平脂來	lij	li˩	꜁ㄌㄧ	꜁ㄌㄧ
161	葵	止合三平脂羣A	gjwij	kʱui˩	꜁ㄎㄨㄟ	꜁ㄎㄨㄟ
162	追	止合三平脂知	trwij	ʈʂui	ㄓㄨㄟ	ㄓㄨㄟ
163	龜	止合三平脂見B	kwij	kui	ㄍㄨㄟ	ㄍㄨㄟ
164	蕤	止合三平脂日	nywij	ʒui˩	꜁ㄖㄨㄟ	꜁ㄖㄨㄟ
165	衰	止合三平脂生	srwij	ʂui	ㄕㄨㄟ	ㄕㄨㄟ
166	惟	止合三平脂以	ywij	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
167	㶟	止合三平脂來	lwij	lui˩	꜁ㄌㄨㄟ	꜁ㄌㄨㄟ
168	綏	止合三平脂心	swij	sui	ㄙㄨㄟ	ㄙㄨㄟ
169	逵	止合三平脂羣B	gwij	kʱui˩	꜁ㄎㄨㄟ	꜁ㄎㄨㄟ
170	眉	止開三平脂明B	mij	mi˩	꜁ㄇㄧ	꜁ㄇㄧ
171	悲	止開三平脂幫B	pij	pi	ㄅㄧ	ㄅㄧ
172	錐	止合三平脂章	tsywij	ʈʂui	ㄓㄨㄟ	ㄓㄨㄟ
173	誰	止合三平脂常	dzywij	ʂʱui˩	꜁ㄕㄨㄟ	꜁ㄕㄨㄟ
174	帷	止合三平脂云	hwij	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
175	邳	止開三平脂並B	bij	pʱi˩	꜁ㄆㄧ	꜁ㄆㄧ
176	丕	止開三平脂滂B	phij	pʰi	ㄆㄧ	ㄆㄧ
177	倠	止合三平脂曉A	xjwij	hui	ㄏㄨㄟ	ㄏㄨㄟ
178	鎚	止合三平脂澄	drwij	ʈʂʱui˩	꜁ㄔㄨㄟ	꜁ㄔㄨㄟ
179	推	止合三平脂昌	tsyhwij	ʈʂʰui	ㄔㄨㄟ	ㄔㄨㄟ
180	胝	止開三平脂知	trij	tʃi	ㄓㄧ	ㄓ
181	紕	止開三平脂滂A	phjij	pʰi	ㄆㄧ	ㄆㄧ
182	嶉	止合三平脂精	tswij	tsui	ㄗㄨㄟ	ㄗㄨㄟ
183	巋	止合三平脂溪B	khwij	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
184	狋	止開三平脂疑B	ngij	(ŋ)i˩	꜁(ㄫ)ㄧ	꜁(ㄫ)ㄧ
185	咦	止開三平脂曉A	xjij	hi	ㄒㄧ	ㄒㄧ
186	之	止開三平之章	tsyi	tʃiɨ	ㄓ	ㄓ
187	飴	止開三平之以	yi	ji˩	꜁ㄧ	꜁ㄧ
188	時	止開三平之常	dzyi	ʃʱiɨ˩	꜁ㄕ	꜁ㄕ
189	疑	止開三平之疑	ngi	(ŋ)i˩	꜁(ㄫ)ㄧ	꜁(ㄫ)ㄧ
190	思	止開三平之心	si	sɨ	ㄙㄭ	ㄙ
191	輜	止開三平之初	tsrhi	ʈʂʰɨ	ㄔㄭ	ㄔ
