# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
3209	育	通開三入東以	yuwk	jyuʔ(k)˩	ㄩㄨ꜇ㆶ	ㄩ꜆
3210	驧	通開三入東羣	gjuwk	gyuʔ(k)˩	ㆢㄩㄨ꜇ㆶ	ㄐㄩ꜆
3211	鼀	通開三入東清	tshjuwk	tsʰyuʔ(k)	ㄘㄩㄨ꜆ㆶ	ㄘㄩ꜆
3212	肉	通開三入東日	nyuwk	ʒyuʔ(k)˩	ㄖㄩㄨ꜇ㆶ	ㄖㄨ꜆
3213	粥	通開三入東章	tsyuwk	tʃyuʔ(k)	ㄓㄩㄨ꜆ㆶ	ㄓㄨ꜆
3214	叔	通開三入東書	syuwk	ʃyuʔ(k)	ㄕㄩㄨ꜆ㆶ	ㄕㄨ꜆
3215	蓄	通開三入東曉	xjuwk	hyuʔ(k)	ㄒㄩㄨ꜆ㆶ	ㄒㄩ꜆
3216	竹	通開三入東知	trjuwk	tʃyuʔ(k)	ㄓㄩㄨ꜆ㆶ	ㄓㄨ꜆
3217	蹙	通開三入東精	tsjuwk	tsyuʔ(k)	ㄗㄩㄨ꜆ㆶ	ㄗㄩ꜆
3218	珿	通開三入東初	tsrhjuwk	ʈʂʰuʔ(k)	ㄔㄨ꜆ㆶ	ㄔㄨ꜆
3219	肭	通開三入東孃	nrjuwk	nyuʔ(k)˩	ㄋㄩㄨ꜇ㆶ	ㄋㄩ꜆
3220	縬	通開三入東莊	tsrjuwk	ʈʂuʔ(k)	ㄓㄨ꜆ㆶ	ㄓㄨ꜆
3221	蝮	通開三入東滂	phjuwk	fuʔ(k)	ㄈㄨ꜆ㆶ	ㄈㄨ꜆
3222	郁	通開三入東影	’juwk	ʔyuʔ(k)	ㄩㄨ꜆ㆶ	ㄩ꜆
3223	肅	通開三入東心	sjuwk	syuʔ(k)	ㄙㄩㄨ꜆ㆶ	ㄙㄩ꜆
3224	目	通開三入東明	mjuwk	muʔ(k)˩	ㄇㄨ꜇ㆶ	ㄇㄨ꜆
3225	囿	通開三入東云	hjuwk	jyuʔ(k)˩	ㄩㄨ꜇ㆶ	ㄩ꜆
3226	蓄	通開三入東徹	trhjuwk	tʃʰyuʔ(k)	ㄔㄩㄨ꜆ㆶ	ㄔㄨ꜆
3227	砡	通開三入東疑	ngjuwk	(ŋ)yuʔ(k)˩	(ㄫ)ㄩㄨ꜇ㆶ	(ㄫ)ㄩ꜆
3228	𣤶	通開三入東從	dzjuwk	dzyuʔ(k)˩	ㆡㄩㄨ꜇ㆶ	ㄗㄩ꜆
3229	沃	通開一入冬影	’owk	ʔuʔ(k)	ㄨ꜆ㆶ	ㄨ꜆
3230	毒	通開一入冬定	dowk	duʔ(k)˩	ㄉㄨ꜇ㆶ	ㄉㄨ꜆
3231	篤	通開一入冬端	towk	tuʔ(k)	ㄉㄨ꜆ㆶ	ㄉㄨ꜆
3232	酷	通開一入冬溪	khowk	kʰuʔ(k)	ㄎㄨ꜆ㆶ	ㄎㄨ꜆
3233	鵠	通開一入冬匣	howk	ɦuʔ(k)˩	ㄏㄨ꜇ㆶ	ㄏㄨ꜆
3234	僕	通開一入冬並	bowk	buʔ(k)˩	ㆠㄨ꜇ㆶ	ㄅㄨ꜆
3235	洬	通開一入冬心	sowk	suʔ(k)	ㄙㄨ꜆ㆶ	ㄙㄨ꜆
3236	梏	通開一入冬見	kowk	kuʔ(k)	ㄍㄨ꜆ㆶ	ㄍㄨ꜆
3237	瑁	通開一入冬明	mowk	muʔ(k)˩	ㄇㄨ꜇ㆶ	ㄇㄨ꜆
3238	熇	通開一入冬曉	xowk	huʔ(k)	ㄏㄨ꜆ㆶ	ㄏㄨ꜆
3239	褥	通開一入冬泥	nowk	nuʔ(k)˩	ㄋㄨ꜇ㆶ	ㄋㄨ꜆
3240	傶	通開一入冬精	tsowk	tsuʔ(k)	ㄗㄨ꜆ㆶ	ㄗㄨ꜆
3241	襮	通開一入冬幫	powk	puʔ(k)	ㄅㄨ꜆ㆶ	ㄅㄨ꜆
3242	濼	通開一入冬來	lowk	luʔ(k)˩	ㄌㄨ꜇ㆶ	ㄌㄨ꜆
3243	𤛹	通開一入冬疑	ngowk	ŋuʔ(k)˩	ㄫㄨ꜇ㆶ	ㄨ꜆
3244	燭	通開三入鍾章	tsyowk	tʃyuʔ(k)	ㄓㄩㄨ꜆ㆶ	ㄓㄨ꜆
3245	玉	通開三入鍾疑	ngjowk	(ŋ)yuʔ(k)˩	(ㄫ)ㄩㄨ꜇ㆶ	(ㄫ)ㄩ꜆
3246	旭	通開三入鍾曉	xjowk	hyuʔ(k)	ㄒㄩㄨ꜆ㆶ	ㄒㄩ꜆
3247	輂	通開三入鍾見	kjowk	kyuʔ(k)	ㄐㄩㄨ꜆ㆶ	ㄐㄩ꜆
3248	局	通開三入鍾羣	gjowk	gyuʔ(k)˩	ㆢㄩㄨ꜇ㆶ	ㄐㄩ꜆
3249	蜀	通開三入鍾常	dzyowk	ʃʱyuʔ(k)˩	ㄕㄩㄨ꜇ㆶ	ㄕㄨ꜆
3250	觸	通開三入鍾昌	tsyhowk	tʃʰyuʔ(k)	ㄔㄩㄨ꜆ㆶ	ㄔㄨ꜆
3251	辱	通開三入鍾日	nyowk	ʒyuʔ(k)˩	ㄖㄩㄨ꜇ㆶ	ㄖㄨ꜆
3252	束	通開三入鍾書	syowk	ʃyuʔ(k)	ㄕㄩㄨ꜆ㆶ	ㄕㄨ꜆
3253	欲	通開三入鍾以	yowk	jyuʔ(k)˩	ㄩㄨ꜇ㆶ	ㄩ꜆
3254	躅	通開三入鍾澄	drjowk	dʒyuʔ(k)˩	ㄓㄩㄨ꜇ㆶ	ㄓㄨ꜆
3255	録	通開三入鍾來	ljowk	lyuʔ(k)˩	ㄌㄩㄨ꜇ㆶ	ㄌㄩ꜆
3256	曲	通開三入鍾溪	khjowk	kʰyuʔ(k)	ㄑㄩㄨ꜆ㆶ	ㄑㄩ꜆
3257	瘃	通開三入鍾知	trjowk	tʃyuʔ(k)	ㄓㄩㄨ꜆ㆶ	ㄓㄨ꜆
3258	足	通開三入鍾精	tsjowk	tsyuʔ(k)	ㄗㄩㄨ꜆ㆶ	ㄗㄩ꜆
3259	贖	通開三入鍾船	zyowk	ʃʱyuʔ(k)˩	ㄕㄩㄨ꜇ㆶ	ㄕㄨ꜆
3260	幞	通開三入鍾並	bjowk	fʱuʔ(k)˩	ㄈㄨ꜇ㆶ	ㄈㄨ꜆
3261	促	通開三入鍾清	tshjowk	tsʰyuʔ(k)	ㄘㄩㄨ꜆ㆶ	ㄘㄩ꜆
3262	續	通開三入鍾邪	zjowk	sʱyuʔ(k)˩	ㄙㄩㄨ꜇ㆶ	ㄙㄩ꜆
3263	粟	通開三入鍾心	sjowk	syuʔ(k)	ㄙㄩㄨ꜆ㆶ	ㄙㄩ꜆
3264	䪁	通開三入鍾幫	pjowk	fuʔ(k)	ㄈㄨ꜆ㆶ	ㄈㄨ꜆
3265	梀	通開三入鍾徹	trhjowk	tʃʰyuʔ(k)	ㄔㄩㄨ꜆ㆶ	ㄔㄨ꜆
3266	覺	江開二入江見	kaewk	kiɒʔ(k)	ㄐㄧㄛ꜆ㆶ	ㄐㄧㄛ꜆
3267	嶽	江開二入江疑	ngaewk	(ŋ)iɒʔ(k)˩	(ㄫ)ㄧㄛ꜇ㆶ	ㄧㄛ꜆
3268	浞	江開二入江崇	dzraewk	ɖʐwɒʔ(k)˩	ㄓㄨㄛ꜇ㆶ	ㄓㄨㄛ꜆
3269	捉	江開二入江莊	tsraewk	ʈʂwɒʔ(k)	ㄓㄨㄛ꜆ㆶ	ㄓㄨㄛ꜆
3270	朔	江開二入江生	sraewk	ʂwɒʔ(k)	ㄕㄨㄛ꜆ㆶ	ㄕㄨㄛ꜆
3271	斲	江開二入江知	traewk	ʈʂwɒʔ(k)	ㄓㄨㄛ꜆ㆶ	ㄓㄨㄛ꜆
3272	剥	江開二入江幫	paewk	pɒʔ(k)	ㄅㄛ꜆ㆶ	ㄅㄛ꜆
3273	邈	江開二入江明	maewk	mɒʔ(k)˩	ㄇㄛ꜇ㆶ	ㄇㄛ꜆
3274	雹	江開二入江並	baewk	bɒʔ(k)˩	ㆠㄛ꜇ㆶ	ㄅㄛ꜆
3275	璞	江開二入江滂	phaewk	pʰɒʔ(k)	ㄆㄛ꜆ㆶ	ㄆㄛ꜆
3276	㱿	江開二入江溪	khaewk	kʰiɒʔ(k)	ㄑㄧㄛ꜆ㆶ	ㄑㄧㄛ꜆
3277	濁	江開二入江澄	draewk	ɖʐwɒʔ(k)˩	ㄓㄨㄛ꜇ㆶ	ㄓㄨㄛ꜆
3278	渥	江開二入江影	’aewk	ʔiɒʔ(k)	ㄧㄛ꜆ㆶ	ㄧㄛ꜆
3279	搦	江開二入江孃	nraewk	nɒʔ(k)˩	ㄋㄛ꜇ㆶ	ㄋㄛ꜆
3280	逴	江開二入江徹	trhaewk	ʈʂʰwɒʔ(k)	ㄔㄨㄛ꜆ㆶ	ㄔㄨㄛ꜆
3281	犖	江開二入江來	laewk	lɒʔ(k)˩	ㄌㄛ꜇ㆶ	ㄌㄛ꜆
3282	學	江開二入江匣	haewk	ɦiɒʔ(k)˩	ㄒㄧㄛ꜇ㆶ	ㄒㄧㄛ꜆
3283	㕰	江開二入江曉	xaewk	hiɒʔ(k)	ㄒㄧㄛ꜆ㆶ	ㄒㄧㄛ꜆
3284	娖	江開二入江初	tsrhaewk	ʈʂʰwɒʔ(k)	ㄔㄨㄛ꜆ㆶ	ㄔㄨㄛ꜆
3285	質	臻開三入眞章	tsyit	tʃiʔ(t)	ㄓㄧ꜆ㆵ	ㄓ꜆
3286	日	臻開三入眞日	nyit	ʒiʔ(t)˩	ㄖㄧ꜇ㆵ	ㄖ꜆
3287	實	臻開三入眞船	zyit	ʃʱiʔ(t)˩	ㄕㄧ꜇ㆵ	ㄕ꜆
3288	秩	臻開三入眞澄	drit	dʒiʔ(t)˩	ㄓㄧ꜇ㆵ	ㄓ꜆
3289	悉	臻開三入眞心	sit	siʔ(t)	ㄙㄧ꜆ㆵ	ㄙㄧ꜆
3290	一	臻開三入眞影A	’jit	ʔiʔ(t)	ㄧ꜆ㆵ	ㄧ꜆
3291	七	臻開三入眞清	tshit	tsʰiʔ(t)	ㄘㄧ꜆ㆵ	ㄘㄧ꜆
3292	匹	臻開三入眞滂A	phjit	pʰiʔ(t)	ㄆㄧ꜆ㆵ	ㄆㄧ꜆
3293	吉	臻開三入眞見A	kjit	kiʔ(t)	ㄐㄧ꜆ㆵ	ㄐㄧ꜆
3294	暱	臻開三入眞孃	nrit	niʔ(t)˩	ㄋㄧ꜇ㆵ	ㄋㄧ꜆
3295	逸	臻開三入眞以	yit	jiʔ(t)˩	ㄧ꜇ㆵ	ㄧ꜆
3296	詰	臻開三入眞溪A	khjit	kʰiʔ(t)	ㄑㄧ꜆ㆵ	ㄑㄧ꜆
3297	欯	臻開三入眞曉A	xjit	hiʔ(t)	ㄒㄧ꜆ㆵ	ㄒㄧ꜆
3298	抶	臻開三入眞徹	trhit	tʃʰiʔ(t)	ㄔㄧ꜆ㆵ	ㄔ꜆
3299	栗	臻開三入眞來	lit	liʔ(t)˩	ㄌㄧ꜇ㆵ	ㄌㄧ꜆
3300	窒	臻開三入眞知	trit	tʃiʔ(t)	ㄓㄧ꜆ㆵ	ㄓ꜆
3301	疾	臻開三入眞從	dzit	dziʔ(t)˩	ㆡㄧ꜇ㆵ	ㄗㄧ꜆
3302	㓼	臻開三入臻初	tsrhit	ʈʂʰəʔ(t)	ㄔㄜ꜆ㆵ	ㄔㄜ꜆
3303	失	臻開三入眞書	syit	ʃiʔ(t)	ㄕㄧ꜆ㆵ	ㄕ꜆
3304	堲	臻開三入眞精	tsit	tsiʔ(t)	ㄗㄧ꜆ㆵ	ㄗㄧ꜆
3305	蜜	臻開三入眞明A	mjit	miʔ(t)˩	ㄇㄧ꜇ㆵ	ㄇㄧ꜆
3306	必	臻開三入眞幫A	pjit	piʔ(t)	ㄅㄧ꜆ㆵ	ㄅㄧ꜆
3307	姞	臻開三入眞羣B	git	giʔ(t)˩	ㆢㄧ꜇ㆵ	ㄐㄧ꜆
3308	邲	臻開三入眞並A	bjit	biʔ(t)˩	ㆠㄧ꜇ㆵ	ㄅㄧ꜆
3309	䫻	臻合三入眞云	hwit	jyʔ(t)˩	ㄩ꜇ㆵ	ㄩ꜆
3310	率	臻合三入諄生	srwit	ʂuʔ(t)	ㄕㄨ꜆ㆵ	ㄕㄨ꜆
3311	叱	臻開三入眞昌	tsyhit	tʃʰiʔ(t)	ㄔㄧ꜆ㆵ	ㄔ꜆
3312	𪗨	臻開三入臻崇	dzrit	ɖʐəʔ(t)˩	ㄓㄜ꜇ㆵ	ㄓㄜ꜆
3313	密	臻開三入眞明B	mit	miʔ(t)˩	ㄇㄧ꜇ㆵ	ㄇㄧ꜆
3314	弼	臻開三入眞並B	bit	biʔ(t)˩	ㆠㄧ꜇ㆵ	ㄅㄧ꜆
3315	乙	臻開三入眞影B	’it	ʔiʔ(t)	ㄧ꜆ㆵ	ㄧ꜆
3316	耴	臻開三入眞疑B	ngit	ŋiʔ(t)˩	ㄫㄧ꜇ㆵ	ㄬㄧ꜆
3317	筆	臻開三入眞幫B	pit	piʔ(t)	ㄅㄧ꜆ㆵ	ㄅㄧ꜆
3318	茁	臻合三入諄知	trwit	tʃyʔ(t)	ㄓㄩ꜆ㆵ	ㄓㄨ꜆
3319	肸	臻開三入眞曉B	xit	hiʔ(t)	ㄒㄧ꜆ㆵ	ㄒㄧ꜆
3320	曁	臻開三入眞見B	kit	kiʔ(t)	ㄐㄧ꜆ㆵ	ㄐㄧ꜆
3321	蛭	臻開三入眞知	trit	tʃiʔ(t)	ㄓㄧ꜆ㆵ	ㄓ꜆
3322	獝	臻合三入諄曉	xjwit	hyʔ(t)	ㄒㄩ꜆ㆵ	ㄒㄩ꜆
3323	術	臻合三入諄船	zywit	ʃʱyʔ(t)˩	ㄕㄩ꜇ㆵ	ㄕㄨ꜆
3324	橘	臻合三入諄見	kjwit	kyʔ(t)	ㄐㄩ꜆ㆵ	ㄐㄩ꜆
3325	崒	臻合三入諄從	dzwit	dzyʔ(t)˩	ㆡㄩ꜇ㆵ	ㄗㄩ꜆
3326	聿	臻合三入諄以	ywit	jyʔ(t)˩	ㄩ꜇ㆵ	ㄩ꜆
3327	卒	臻合三入諄精	tswit	tsyʔ(t)	ㄗㄩ꜆ㆵ	ㄗㄩ꜆
3328	卹	臻合三入諄心	swit	syʔ(t)	ㄙㄩ꜆ㆵ	ㄙㄩ꜆
3329	律	臻合三入諄來	lwit	lyʔ(t)˩	ㄌㄩ꜇ㆵ	ㄌㄩ꜆
3330	黜	臻合三入諄徹	trhwit	tʃʰyʔ(t)	ㄔㄩ꜆ㆵ	ㄔㄨ꜆
3331	㤕	臻合三入諄知	trwit	tʃyʔ(t)	ㄓㄩ꜆ㆵ	ㄓㄨ꜆
3332	术	臻合三入諄澄	drwit	dʒyʔ(t)˩	ㄓㄩ꜇ㆵ	ㄓㄨ꜆
3333	出	臻合三入諄昌	tsyhwit	tʃʰyʔ(t)	ㄔㄩ꜆ㆵ	ㄔㄨ꜆
3334	焌	臻合三入諄清	tshwit	tsʰyʔ(t)	ㄘㄩ꜆ㆵ	ㄘㄩ꜆
3335	𠭴	臻合三入諄莊	tsrwit	ʈʂuʔ(t)	ㄓㄨ꜆ㆵ	ㄓㄨ꜆
3336	䎉	臻合三入眞曉B	xwit	hyʔ(t)	ㄒㄩ꜆ㆵ	ㄒㄩ꜆
3337	櫛	臻開三入臻莊	tsrit	ʈʂəʔ(t)	ㄓㄜ꜆ㆵ	ㄓㄜ꜆
3338	瑟	臻開三入臻生	srit	ʂəʔ(t)	ㄕㄜ꜆ㆵ	ㄕㄜ꜆
3339	𪗨	臻開三入臻崇	dzrit	ɖʐəʔ(t)˩	ㄓㄜ꜇ㆵ	ㄓㄜ꜆
3340	物	臻合三入文明	mjut	vuʔ(t)˩	ㄪㄨ꜇ㆵ	ㄪㄨ꜆
3341	弗	臻合三入文幫	pjut	fuʔ(t)	ㄈㄨ꜆ㆵ	ㄈㄨ꜆
3342	鬱	臻合三入文影	’jut	ʔyʔ(t)	ㄩ꜆ㆵ	ㄩ꜆
3343	𠀔	臻合三入文見	kjut	kyʔ(t)	ㄐㄩ꜆ㆵ	ㄐㄩ꜆
3344	屈	臻合三入文溪	khjut	kʰyʔ(t)	ㄑㄩ꜆ㆵ	ㄑㄩ꜆
3345	倔	臻合三入文羣	gjut	gyʔ(t)˩	ㆢㄩ꜇ㆵ	ㄐㄩ꜆
3346	佛	臻合三入文並	bjut	fʱuʔ(t)˩	ㄈㄨ꜇ㆵ	ㄈㄨ꜆
3347	䬍	臻合三入文曉	xjut	hyʔ(t)	ㄒㄩ꜆ㆵ	ㄒㄩ꜆
3348	䬑	臻合三入文云	hjut	jyʔ(t)˩	ㄩ꜇ㆵ	ㄩ꜆
3349	拂	臻合三入文滂	phjut	fuʔ(t)	ㄈㄨ꜆ㆵ	ㄈㄨ꜆
3350	崛	臻合三入文疑	ngjut	(ŋ)yʔ(t)˩	(ㄫ)ㄩ꜇ㆵ	(ㄫ)ㄩ꜆
3351	迄	臻開三入欣曉	xj+t	hiʔ(t)	ㄒㄧ꜆ㆵ	ㄒㄧ꜆
3352	訖	臻開三入欣見	kj+t	kiʔ(t)	ㄐㄧ꜆ㆵ	ㄐㄧ꜆
3353	疙	臻開三入欣疑	ngj+t	(ŋ)iʔ(t)˩	(ㄫ)ㄧ꜇ㆵ	(ㄫ)ㄧ꜆
3354	䞘	臻開三入欣羣	gj+t	giʔ(t)˩	ㆢㄧ꜇ㆵ	ㄐㄧ꜆
3355	乞	臻開三入欣溪	khj+t	kʰiʔ(t)	ㄑㄧ꜆ㆵ	ㄑㄧ꜆
3356	月	臻合三入元疑	ngjwot	(ŋ)yuɛʔ(t)˩	(ㄫ)ㄩㄝ꜇ㆵ	(ㄫ)ㄩㄝ꜆
3357	伐	臻合三入元並	bjot	fʱaʔ(t)˩	ㄈㄚ꜇ㆵ	ㄈㄚ꜆
3358	越	臻合三入元云	hjwot	jyuɛʔ(t)˩	ㄩㄝ꜇ㆵ	ㄩㄝ꜆
3359	厥	臻合三入元見	kjwot	kyuɛʔ(t)	ㄐㄩㄝ꜆ㆵ	ㄐㄩㄝ꜆
3360	𡡕	臻合三入元影	’jwot	ʔyuɛʔ(t)	ㄩㄝ꜆ㆵ	ㄩㄝ꜆
3361	𧤼	臻合三入元羣	gjwot	gyuɛʔ(t)˩	ㆢㄩㄝ꜇ㆵ	ㄐㄩㄝ꜆
3362	闕	臻合三入元溪	khjwot	kʰyuɛʔ(t)	ㄑㄩㄝ꜆ㆵ	ㄑㄩㄝ꜆
3363	髮	臻合三入元幫	pjot	faʔ(t)	ㄈㄚ꜆ㆵ	ㄈㄚ꜆
3364	韤	臻合三入元明	mjot	vaʔ(t)˩	ㄪㄚ꜇ㆵ	ㄪㄚ꜆
3365	䬂	臻合三入元曉	xjwot	hyuɛʔ(t)	ㄒㄩㄝ꜆ㆵ	ㄒㄩㄝ꜆
3366	謁	臻開三入元影	’jot	ʔiɛʔ(t)	ㄧㄝ꜆ㆵ	ㄧㄝ꜆
3367	歇	臻開三入元曉	xjot	hiɛʔ(t)	ㄒㄧㄝ꜆ㆵ	ㄒㄧㄝ꜆
3368	訐	臻開三入元見	kjot	kiɛʔ(t)	ㄐㄧㄝ꜆ㆵ	ㄐㄧㄝ꜆
3369	𢷒	臻開三入元羣	gjot	giɛʔ(t)˩	ㆢㄧㄝ꜇ㆵ	ㄐㄧㄝ꜆
3370	㤄	臻合三入元滂	phjot	faʔ(t)	ㄈㄚ꜆ㆵ	ㄈㄚ꜆
3371	钀	臻開三入元疑	ngjot	ŋiɛʔ(t)˩	ㄫㄧㄝ꜇ㆵ	ㄬㄧㄝ꜆
3372	没	臻合一入魂明	mwot	muʔ(t)˩	ㄇㄨ꜇ㆵ	ㄇㄨ꜆
3373	𣅝	臻合一入魂透	thwot	tʰuʔ(t)	ㄊㄨ꜆ㆵ	ㄊㄨ꜆
3374	骨	臻合一入魂見	kwot	kuʔ(t)	ㄍㄨ꜆ㆵ	ㄍㄨ꜆
3375	勃	臻合一入魂並	bwot	buʔ(t)˩	ㆠㄨ꜇ㆵ	ㄅㄨ꜆
3376	咄	臻合一入魂端	twot	tuʔ(t)	ㄉㄨ꜆ㆵ	ㄉㄨ꜆
3377	宊	臻合一入魂透	thwot	tʰuʔ(t)	ㄊㄨ꜆ㆵ	ㄊㄨ꜆
3378	突	臻合一入魂定	dwot	duʔ(t)˩	ㄉㄨ꜇ㆵ	ㄉㄨ꜆
3379	𩑦	臻合一入魂影	’wot	ʔuʔ(t)	ㄨ꜆ㆵ	ㄨ꜆
3380	忽	臻合一入魂曉	xwot	huʔ(t)	ㄏㄨ꜆ㆵ	ㄏㄨ꜆
3381	兀	臻合一入魂疑	ngwot	ŋuʔ(t)˩	ㄫㄨ꜇ㆵ	ㄨ꜆
3382	䪬	臻合一入魂滂	phwot	pʰuʔ(t)	ㄆㄨ꜆ㆵ	ㄆㄨ꜆
3383	𠀽	臻合一入魂來	lwot	luʔ(t)˩	ㄌㄨ꜇ㆵ	ㄌㄨ꜆
3384	窟	臻合一入魂溪	khwot	kʰuʔ(t)	ㄎㄨ꜆ㆵ	ㄎㄨ꜆
3385	訥	臻合一入魂泥	nwot	nuʔ(t)˩	ㄋㄨ꜇ㆵ	ㄋㄨ꜆
3386	窣	臻合一入魂心	swot	suʔ(t)	ㄙㄨ꜆ㆵ	ㄙㄨ꜆
3387	猝	臻合一入魂清	tshwot	tsʰuʔ(t)	ㄘㄨ꜆ㆵ	ㄘㄨ꜆
3388	捽	臻合一入魂從	dzwot	dzuʔ(t)˩	ㆡㄨ꜇ㆵ	ㄗㄨ꜆
3389	麧	臻開一入痕匣	hot	ɦəʔ(t)˩	ㄏㄜ꜇ㆵ	ㄏㄜ꜆
3390	搰	臻合一入魂匣	hwot	ɦuʔ(t)˩	ㄏㄨ꜇ㆵ	ㄏㄨ꜆
3391	卒	臻合一入魂精	tswot	tsuʔ(t)	ㄗㄨ꜆ㆵ	ㄗㄨ꜆
3392	曷	山開一入寒匣	hat	ɦɔʔ(t)˩	ㄏㄛ꜇ㆵ	ㄏㄛ꜆
3393	䫘	山開一入寒曉	xat	hɔʔ(t)	ㄏㄛ꜆ㆵ	ㄏㄛ꜆
3394	怛	山開一入寒端	tat	taʔ(t)	ㄉㄚ꜆ㆵ	ㄉㄚ꜆
3395	闥	山開一入寒透	that	tʰaʔ(t)	ㄊㄚ꜆ㆵ	ㄊㄚ꜆
3396	遏	山開一入寒影	’at	ʔɔʔ(t)	ㄛ꜆ㆵ	ㄛ꜆
3397	剌	山開一入寒來	lat	laʔ(t)˩	ㄌㄚ꜇ㆵ	ㄌㄚ꜆
3398	渴	山開一入寒溪	khat	kʰɔʔ(t)	ㄎㄛ꜆ㆵ	ㄎㄛ꜆
3399	達	山開一入寒定	dat	daʔ(t)˩	ㄉㄚ꜇ㆵ	ㄉㄚ꜆
3400	巀	山開一入寒從	dzat	dzaʔ(t)˩	ㆡㄚ꜇ㆵ	ㄗㄚ꜆
3401	嶭	山開一入寒疑	ngat	ŋɔʔ(t)˩	ㄫㄛ꜇ㆵ	ㄫㄛ꜆
3402	葛	山開一入寒見	kat	kɔʔ(t)	ㄍㄛ꜆ㆵ	ㄍㄛ꜆
3403	躠	山開一入寒心	sat	saʔ(t)	ㄙㄚ꜆ㆵ	ㄙㄚ꜆
3404	攃	山開一入寒清	tshat	tsʰaʔ(t)	ㄘㄚ꜆ㆵ	ㄘㄚ꜆
3405	捺	山開一入寒泥	nat	naʔ(t)˩	ㄋㄚ꜇ㆵ	ㄋㄚ꜆
3406	䔾	山開一入寒明	mat	mɔʔ(t)˩	ㄇㄛ꜇ㆵ	ㄇㄛ꜆
3407	末	山合一入桓明	mat	mwɔʔ(t)˩	ㄇㄨㄛ꜇ㆵ	ㄇㄨㄛ꜆
3408	枂	山合一入桓疑	ngwat	ŋwɔʔ(t)˩	ㄫㄨㄛ꜇ㆵ	ㄨㄛ꜆
3409	柮	山合一入桓從	dzwat	dzwɔʔ(t)˩	ㆡㄨㄛ꜇ㆵ	ㄗㄛ꜆
3410	撥	山合一入桓幫	pat	pwɔʔ(t)	ㄅㄨㄛ꜆ㆵ	ㄅㄨㄛ꜆
3411	䰖	山開一入寒精	tsat	tsaʔ(t)	ㄗㄚ꜆ㆵ	ㄗㄚ꜆
3412	括	山合一入桓見	kwat	kwɔʔ(t)	ㄍㄨㄛ꜆ㆵ	ㄍㄨㄛ꜆
3413	闊	山合一入桓溪	khwat	kʰwɔʔ(t)	ㄎㄨㄛ꜆ㆵ	ㄎㄨㄛ꜆
3414	活	山合一入桓匣	hwat	ɦwɔʔ(t)˩	ㄏㄨㄛ꜇ㆵ	ㄏㄨㄛ꜆
3415	奪	山合一入桓定	dwat	dwɔʔ(t)˩	ㄉㄨㄛ꜇ㆵ	ㄉㄛ꜆
3416	豁	山合一入桓曉	xwat	hwɔʔ(t)	ㄏㄨㄛ꜆ㆵ	ㄏㄨㄛ꜆
3417	斡	山合一入桓影	’wat	ʔwɔʔ(t)	ㄨㄛ꜆ㆵ	ㄨㄛ꜆
3418	繓	山合一入桓精	tswat	tswɔʔ(t)	ㄗㄨㄛ꜆ㆵ	ㄗㄛ꜆
3419	鏺	山合一入桓滂	phat	pʰwɔʔ(t)	ㄆㄨㄛ꜆ㆵ	ㄆㄨㄛ꜆
3420	侻	山合一入桓透	thwat	tʰwɔʔ(t)	ㄊㄨㄛ꜆ㆵ	ㄊㄛ꜆
3421	捋	山合一入桓來	lwat	lwɔʔ(t)˩	ㄌㄨㄛ꜇ㆵ	ㄌㄛ꜆
3422	掇	山合一入桓端	twat	twɔʔ(t)	ㄉㄨㄛ꜆ㆵ	ㄉㄛ꜆
3423	撮	山合一入桓清	tshwat	tsʰwɔʔ(t)	ㄘㄨㄛ꜆ㆵ	ㄘㄛ꜆
3424	跋	山合一入桓並	bat	bwɔʔ(t)˩	ㆠㄨㄛ꜇ㆵ	ㄅㄨㄛ꜆
3425	黠	山開二入山匣	heat	ɦiaʔ(t)˩	ㄒㄧㄚ꜇ㆵ	ㄒㄧㄚ꜆
3426	札	山開二入山莊	tsreat	ʈʂaʔ(t)	ㄓㄚ꜆ㆵ	ㄓㄚ꜆
3427	拔	山開二入山並	beat	baʔ(t)˩	ㆠㄚ꜇ㆵ	ㄅㄚ꜆
3428	𤫶	山開二入山溪	kheat	kʰiaʔ(t)	ㄑㄧㄚ꜆ㆵ	ㄑㄧㄚ꜆
3429	滑	山合二入山匣	hweat	ɦwaʔ(t)˩	ㄏㄨㄚ꜇ㆵ	ㄏㄨㄚ꜆
3430	八	山開二入山幫	peat	paʔ(t)	ㄅㄚ꜆ㆵ	ㄅㄚ꜆
3431	窡	山合二入山知	trweat	ʈʂwaʔ(t)	ㄓㄨㄚ꜆ㆵ	ㄓㄨㄚ꜆
3432	婠	山合二入山影	’weat	ʔwaʔ(t)	ㄨㄚ꜆ㆵ	ㄨㄚ꜆
3433	豽	山合二入山孃	nrweat	nwaʔ(t)˩	ㄋㄨㄚ꜇ㆵ	ㄋㄨㄚ꜆
3434	𪙻	山開二入山初	tsrheat	ʈʂʰaʔ(t)	ㄔㄚ꜆ㆵ	ㄔㄚ꜆
3435	劀	山合二入山見	kweat	kwaʔ(t)	ㄍㄨㄚ꜆ㆵ	ㄍㄨㄚ꜆
