IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
thaw	4	○	饕	他刀切	384	饕	他刀切
tɦȁw	4	○	匋	徒刀切	385	匋	徒刀切
lȁw	4	○	勞	郎刀切	386	勞	郎刀切
nȁw	4	○	猱	奴刀切	387	猱	奴刀切
khaw	4	○	尻	若高切	388	尻	苦高切
kɔ	4	十四歌¶¶	歌	居何切	389	歌	居何切
khɔ	4	○	珂	丘何切	390	珂	丘何切
hɔ	4	○	訶	虎何切	391	訶	虎何切
ʔɔ	4	○	阿	於何切	392	阿	於何切
ɦɔ̏	4	○	何	寒歌切	393	何	寒歌切
ŋɔ̏	4	○	莪	牛何切	394	莪	牛何切
sɔ	4	○	娑	桑何切	395	娑	桑何切
tshɔ	4	○	蹉	倉何切	396	蹉	倉何切
tsɦɔ̏	4	○	醝	才何切	397	醝	才何切
tɔ	4	○	多	得何切	398	多	得何切
thɔ	4	○	佗	湯何切	399	佗	湯何切
tɦɔ̏	4	○	駝	唐何切	400	駝	唐何切
lɔ̏	4	○	羅	郎何切	401	羅	郎何切
nɔ̏	4	○	那	奴何切	402	那	奴何切
kwɔ	4	○	戈	古禾切	403	戈	古禾切
khwɔ	4	○	科	苦禾切	404	科	苦禾切
ʔwɔ	4	○	渦	烏禾切	405	渦	烏禾切
ɦwɔ̏	4	○	和	戸戈切	406	和	戶戈切
ŋwɔ̏	4	○	訛	吾禾切	407	訛	吾禾切
pwɔ	4	○	波	補禾切	408	波	補禾切
phwɔ	4	○	頗	普禾切	409	頗	普禾切
pɦwɔ̏	4	○	媻	蒲禾切	410	媻	蒲禾切
mwɔ̏	4	○	摩	眉波切	411	摩	眉波切
mȁ	5	¶十五麻¶¶	麻	謨加切	412	麻	謨加切
pha	5	○	葩	披巴切	413	葩	披巴切
pa	5	○	巴	邦加切	414	巴	邦加切
pɦȁ	5	○	杷	蒲巴切	415	杷	蒲巴切
ʂa	5	○	沙	師加切	416	沙	師加切
tʂha	5	○	叉	初加切	417	叉	初加切
tʂa	5	○	樝	莊加切	418	樝	莊加切
tʂwa	5	○	檛	職瓜切	419	檛	職瓜切
ʈʂɦȁ	5	○	槎	鋤加切	420	槎	鋤加切
nȁ	5	○	拏	女加切	421	拏	奴加切
ɦiȁ	5	○	遐	何加切	422	遐	何加切
hia	5	○	呀	虚加切	423	呀	虛加切
khia	5	○	呿	丘加切	424	呿	丘加切
kia	5	○	嘉	居牙切	425	嘉	居牙切
