山開四平先溪	khen
山開四平先疑	ngen
山開四平先明	men
山開四平先並	ben
山合四平先影	quen
山合四平先見	kuen
山合四平先曉	huen
山開四平先幫	pen
山合四平先匣	ghuen
山開四平先曉	hen
山合四平先崇	zr'uen
山開三平仙心	sien
山開三平仙從	zien
山開三平仙清	chien
山開三平仙精	cien
山開三平仙日	njen
山開三平仙以	jen
山開三平仙章	cjen
山開三平仙見A	kjen
山開三平仙知	trien
山開三平仙崇	zrien
山開三平仙書	sjen
山開三平仙徹	thrien
山開三平仙常	zjen
山開三平仙澄	drien
山開三平仙曉A	hjen
山開三平仙來	lien
山開三平仙滂A	phjen
山開三平仙並A	bjen
山開三平仙明A	mjen
山合三平仙從	zyen
山合三平仙心	syen
山合三平仙精	cyen
山合三平仙曉A	hjyen
山合三平仙日	njyen
山合三平仙昌	chjyen
山合三平仙以	jyen
山合三平仙邪	zsyen
山合三平仙影A	qjyen
山合三平仙船	zsjyen
山開三平仙幫A	pjen
山開三平仙邪	zsien
山合三平仙清	chyen
山合三平仙章	cjyen
山合三平仙常	zjyen
山合三平仙云	yen
山合三平仙莊	cryen
山合三平仙生	sryen
山合三平仙徹	thryen
山開三平仙羣B	gien
山開三平仙溪B	khien
山合三平仙羣B	gyen
山合三平仙澄	dryen
山合三平仙來	lyen
山合三平仙溪B	khyen
山開三平仙影B	qien
山開三平仙云	ien
山合三平仙影B	qyen
山開三平仙昌	chjen
山合三平仙知	tryen
山合三平仙見B	kyen
效開四平蕭心	seu
效開四平蕭透	theu
效開四平蕭端	teu
效開四平蕭定	deu
效開四平蕭見	keu
效開四平蕭來	leu
效開四平蕭疑	ngeu
效開四平蕭曉	heu
效開四平蕭影	qeu
效開四平蕭溪	kheu
效開三平宵心	sieu
效開三平宵徹	thrieu
效開三平宵知	trieu
效開三平宵澄	drieu
效開三平宵曉B	hieu
效開三平宵從	zieu
效開三平宵見B	kieu
效開三平宵精	cieu
效開三平宵日	njeu
效開三平宵書	sjeu
效開三平宵以	jeu
效開三平宵常	zjeu
效開三平宵章	cjeu
效開三平宵幫A	pjeu
效開三平宵幫B	pieu
效開三平宵並A	bjeu
效開三平宵明A	mjeu
效開三平宵明B	mieu
效開三平宵影A	qjeu
效開三平宵云	ieu
效開三平宵羣B	gieu
效開三平宵清	chieu
效開三平宵影B	qieu
效開三平宵溪A	khjeu
效開三平宵昌	chjeu
效開三平宵滂A	phjeu
效開三平宵羣A	gjeu
效開三平宵來	lieu
效開三平宵溪B	khieu
效開二平肴匣	ghrau
效開二平肴見	krau
效開二平肴崇	zrau
效開二平肴孃	nrau
效開二平肴生	srau
效開二平肴明	mrau
效開二平肴曉	hrau
效開二平肴幫	prau
效開二平肴滂	phrau
效開二平肴溪	khrau
效開二平肴疑	ngrau
效開二平肴莊	crau
效開二平肴知	trau
效開二平肴初	chrau
效開二平肴並	brau
效開二平肴影	qrau
效開二平肴徹	thrau
效開二平肴來	lrau
效開二平肴澄	drau
效開一平豪匣	ghau
效開一平豪見	kau
效開一平豪來	lau
效開一平豪曉	hau
效開一平豪明	mau
效開一平豪透	thau
效開一平豪端	tau
效開一平豪心	sau
效開一平豪並	bau
效開一平豪幫	pau
效開一平豪定	dau
效開一平豪精	cau
效開一平豪疑	ngau
效開一平豪從	zau
效開一平豪影	qau
效開一平豪泥	nau
效開一平豪溪	khau
效開一平豪清	chau
效開一平豪滂	phau
果開一平歌見	ka
果開一平歌清	cha
果開一平歌端	ta
果開一平歌心	sa
果開一平歌定	da
果開一平歌從	za
果開一平歌疑	nga
果開一平歌透	tha
果開一平歌來	la
果開一平歌泥	na
果開一平歌匣	gha
果開一平歌曉	ha
果開一平歌溪	kha
果開一平歌影	qa
果合一平戈見	kua
果合一平戈清	chua
果合一平戈端	tua
果合一平戈心	sua
果合一平戈並	bua
果合一平戈定	dua
果合一平戈明	mua
果合一平戈從	zua
果合一平戈疑	ngua
果合一平戈透	thua
果合一平戈來	lua
果合一平戈泥	nua
果合一平戈幫	pua
果合一平戈滂	phua
果合一平戈匣	ghua
果合一平戈溪	khua
果合一平戈影	qua
果合三平戈曉	hya
果合三平戈影	qya
果合三平戈溪	khya
果開三平戈羣	gia
果開三平戈溪	khia
果開三平戈見	kia
果合三平戈清	chya
果合三平戈精	cya
果合三平戈羣	gya
果合三平戈來	lya
假開二平麻明	mra
假開三平麻昌	chja
假開三平麻書	sja
假開三平麻以	ja
假開三平麻章	cja
假開三平麻精	cia
假開三平麻船	zsja
假合二平麻匣	ghrua
假合二平麻見	krua
假合二平麻曉	hrua
假合二平麻溪	khrua
假開二平麻孃	nra
假開二平麻見	kra
假開二平麻匣	ghra
假開二平麻滂	phra
假開二平麻影	qra
假開二平麻幫	pra
假開二平麻初	chra
假開二平麻生	sra
假開二平麻疑	ngra
假開二平麻莊	cra
假開二平麻澄	dra
假開三平麻邪	zsia
假開三平麻常	zja
假合二平麻影	qrua
假合二平麻莊	crua
假合二平麻知	trua
假開二平麻並	bra
假開二平麻崇	zra
假開二平麻徹	thra
假開二平麻知	tra
假開二平麻曉	hra
假開二平麻溪	khra
假開三平麻從	zia
假開三平麻日	nja
假開三平麻心	sia
假開三平麻知	tria
假合二平麻疑	ngrua
假開二平麻溪	khra
宕開三平陽以	jang
宕開三平陽邪	zsiang
宕開三平陽來	liang
宕開三平陽曉	hiang
宕開三平陽書	sjang
宕合三平陽並	byang
宕開三平陽章	cjang
宕開三平陽昌	chjang
宕開三平陽溪	khiang
宕開三平陽見	kiang
宕開三平陽澄	driang
宕開三平陽知	triang
宕開三平陽日	njang
宕合三平陽幫	pyang
宕開三平陽心	siang
宕開三平陽精	ciang
宕開三平陽初	chriang
宕合三平陽明	myang
宕開三平陽孃	nriang
宕開三平陽崇	zriang
宕開三平陽莊	criang
宕開三平陽常	zjang
宕開三平陽生	sriang
宕開三平陽從	ziang
宕開三平陽清	chiang
宕合三平陽溪	khyang
宕合三平陽云	yang
宕開三平陽影	qiang
宕開三平陽羣	giang
宕開三平陽徹	thriang
宕合三平陽滂	phyang
宕合三平陽羣	gyang
宕開一平唐定	dang
宕開一平唐來	lang
宕開一平唐端	tang
宕開一平唐清	chang
宕開一平唐見	kang
宕開一平唐心	sang
宕開一平唐溪	khang
宕合一平唐曉	huang
宕合一平唐匣	ghuang
宕合一平唐見	kuang
宕開一平唐透	thang
宕開一平唐滂	phang
宕合一平唐影	quang
宕開一平唐影	qang
宕開一平唐曉	hang
宕開一平唐匣	ghang
宕開一平唐明	mang
宕開一平唐精	cang
宕開一平唐泥	nang
宕開一平唐並	bang
宕開一平唐疑	ngang
宕開一平唐從	zang
宕合一平唐溪	khuang
宕開一平唐幫	pang
梗開二平庚見	krang
梗開二平庚溪	khrang
梗開二平庚明	mrang
梗合二平庚匣	ghruang
梗開二平庚幫	prang
梗合二平庚曉	hruang
梗合二平庚見	kruang
梗開二平庚並	brang
梗開二平庚曉	hrang
梗開二平庚徹	thrang
梗開二平庚初	chrang
梗開二平庚崇	zrang
梗開三平庚影	qieng
梗開三平庚滂	phieng
梗開三平庚並	bieng
